County,Stabr,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino
Avoyelles Parish,LA,1.2,0.5,29.8,2.1,0.1,2.0,66.4,64.9
Baca County,CO,2.1,0.4,1.1,11.3,-1.0,2.8,93.6,83.9
Bacon County,GA,0.4,0.8,16.2,8.6,0.2,1.8,80.7,73.4
Bailey County,TX,3.4,0.9,2.1,64.0,0.1,1.4,92.1,33.0
Baker County,FL,0.5,0.7,14.2,2.8,0.0,1.9,82.7,80.4
Baker County,GA,0.5,1.2,44.0,6.4,0.1,1.3,52.9,47.9
Baker County,OR,1.6,0.9,0.7,4.7,0.1,3.0,93.7,89.7
Baldwin County,AL,0.8,1.1,8.8,4.7,0.1,1.9,87.4,83.2
Baldwin County,GA,0.3,1.7,42.5,2.3,0.1,1.3,54.0,52.4
Ballard County,KY,0.4,0.5,3.4,1.5,0.1,2.4,93.2,92.0
Baltimore County,MD,0.4,6.3,30.3,5.8,0.1,2.6,60.2,55.8
Baltimore City,MD,0.3,2.6,62.4,5.3,0.0,2.5,30.5,27.5
Bamberg County,SC,0.4,0.5,60.3,2.3,0.1,1.1,37.6,36.2
Bandera County,TX,1.3,0.6,1.1,19.8,0.0,1.6,95.3,76.7
Banks County,GA,0.6,1.1,2.9,7.2,0.1,1.6,93.8,87.3
Banner County,NE,0.3,0.3,1.3,5.8,-1.0,0.5,97.6,91.8
Bannock County,ID,3.8,1.6,1.1,8.9,0.3,2.6,90.6,83.4
Baraga County,MI,14.3,0.4,8.0,1.7,0.0,4.6,72.7,72.0
Barber County,KS,1.4,0.5,1.0,4.7,0.0,1.9,95.2,91.3
Barbour County,AL,0.7,0.5,48.2,4.5,0.2,1.2,49.2,45.5
Barbour County,WV,0.6,0.3,1.0,1.1,0.0,1.5,96.5,95.5
Barnes County,ND,1.1,0.9,1.8,2.2,0.1,1.8,94.2,92.5
Barnstable County,MA,0.7,1.6,3.5,3.4,0.1,2.0,92.2,89.5
Barnwell County,SC,0.7,1.0,43.9,2.7,0.0,1.7,52.7,50.8
Barren County,KY,0.4,0.8,4.2,3.4,0.2,1.8,92.6,90.0
Barron County,WI,1.1,0.7,1.6,2.6,0.0,1.3,95.3,93.0
Barrow County,GA,0.6,4.0,12.9,12.2,0.1,2.5,80.0,69.4
Barry County,MI,0.6,0.5,0.7,3.1,0.0,1.6,96.6,93.8
Barry County,MO,1.3,2.4,0.7,9.9,0.2,2.0,93.4,84.5
Bartholomew County,IN,0.5,8.5,2.4,7.2,0.1,1.7,86.9,80.5
Barton County,KS,1.0,0.3,1.9,15.3,0.1,1.8,94.9,81.0
