County,Stabr,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,Ethnicities.White Alone	 not Hispanic or Latino
Covington County,AL,0.8,0.5,12.5,1.9,0.0,1.7,84.5,83.1
Covington County,MS,0.2,0.4,36.1,2.4,0.0,1.2,62.0,60.3
Covington City,VA,0.0,1.2,13.1,2.4,0.2,3.5,82.1,81.0
Coweta County,GA,0.4,2.2,18.4,7.3,0.1,2.0,76.8,70.5
Cowley County,KS,2.3,1.9,2.8,11.2,0.5,3.6,88.9,79.2
Cowlitz County,WA,2.1,1.6,1.1,9.3,0.4,3.7,91.1,83.2
Craig County,OK,21.5,0.7,3.2,4.0,0.1,9.4,65.1,62.5
Craig County,VA,0.4,0.2,0.4,1.6,-1.0,0.9,98.1,96.8
Craighead County,AR,0.5,1.3,16.8,5.3,0.1,1.9,79.5,74.9
Crane County,TX,1.5,1.0,3.7,66.1,0.1,1.5,92.2,29.3
Craven County,NC,0.7,2.9,21.4,7.6,0.2,3.0,71.8,65.6
Crawford County,AR,2.6,1.5,1.7,8.1,0.1,3.3,90.7,83.6
Crawford County,GA,0.7,1.3,20.8,3.6,0.1,1.4,75.7,72.8
Crawford County,IA,1.3,2.5,3.6,28.9,0.3,1.0,91.4,64.6
Crawford County,IL,0.4,0.7,5.2,2.3,0.0,1.2,92.5,90.5
Crawford County,IN,0.5,0.2,0.7,1.6,0.1,1.4,97.1,96.0
Crawford County,KS,1.2,1.9,2.4,6.1,0.4,2.7,91.4,86.0
Crawford County,MI,0.8,0.8,0.9,2.2,0.0,1.5,96.0,94.1
Crawford County,MO,0.7,0.3,0.5,2.1,0.1,1.6,96.8,95.0
Crawford County,OH,0.3,0.6,1.1,1.8,0.1,1.3,96.6,95.0
Crawford County,PA,0.2,0.6,2.0,1.4,0.0,1.3,95.8,94.6
Crawford County,WI,0.4,0.6,2.2,1.8,0.0,1.2,95.5,94.0
Creek County,OK,10.8,0.7,2.3,4.6,0.1,7.2,78.9,75.4
Crenshaw County,AL,0.7,1.1,23.9,2.4,0.0,2.1,72.2,70.3
Crisp County,GA,0.3,1.3,44.8,3.8,0.1,1.4,52.2,49.2
Crittenden County,AR,0.4,0.6,54.5,2.8,0.1,1.4,43.0,40.9
Crittenden County,KY,0.4,0.2,1.1,1.2,0.1,1.2,97.0,96.0
Crockett County,TN,0.8,0.4,14.1,11.0,0.0,2.1,82.7,73.5
Crockett County,TX,2.4,1.0,1.6,66.0,0.1,1.3,93.6,31.3
Crook County,OR,1.7,0.7,0.5,7.6,0.1,2.3,94.7,88.0
Crook County,WY,1.0,0.2,1.4,2.5,0.0,1.1,96.2,94.0
Crosby County,TX,1.1,0.3,4.0,56.6,0.1,1.9,92.5,38.9
Cross County,AR,0.4,0.8,23.2,2.0,0.0,1.6,74.0,72.3
Crow Wing County,MN,1.0,0.5,0.9,1.5,0.0,1.7,95.9,94.7
Crowley County,CO,3.4,1.2,10.7,32.8,0.0,2.2,82.5,52.6
Culberson County,TX,2.5,2.1,1.8,72.9,0.0,2.9,90.6,21.7
Cullman County,AL,0.6,0.7,1.4,4.5,0.1,1.4,95.7,91.7
Culpeper County,VA,0.8,1.7,14.6,11.6,0.2,3.3,79.4,69.8
Cumberland County,IL,0.2,0.6,0.5,1.1,0.1,1.0,97.5,96.6
Cumberland County,KY,0.2,0.2,2.9,1.5,-1.0,2.0,94.7,93.4
Cumberland County,ME,0.4,2.4,3.2,2.2,0.0,2.0,92.0,90.1
Cumberland County,NC,1.9,2.7,39.1,12.1,0.4,4.8,51.1,42.4
Cumberland County,NJ,1.6,1.4,21.9,31.8,0.2,3.1,71.7,45.4
Cumberland County,PA,0.2,4.8,4.7,4.3,0.1,2.2,88.0,84.6
Cumberland County,TN,0.5,0.6,0.7,3.1,0.1,1.2,96.9,94.2
Cumberland County,VA,0.8,0.5,30.5,3.2,0.0,2.4,65.8,63.5
Cuming County,NE,0.9,0.5,0.5,10.3,0.0,1.2,96.8,87.6
Currituck County,NC,0.7,0.8,5.8,4.4,0.1,2.1,90.5,86.9
Curry County,NM,2.1,1.8,6.9,43.4,0.2,3.2,85.6,46.5
Curry County,OR,2.6,0.8,0.5,7.4,0.2,4.0,91.8,85.7
Custer County,CO,1.2,0.5,1.6,5.8,0.0,2.1,94.6,89.7
Custer County,ID,1.0,0.3,0.6,4.6,0.0,2.2,95.9,91.8
Custer County,MT,2.3,0.7,0.6,3.7,0.1,2.3,94.1,91.1
Custer County,NE,0.7,0.3,0.6,3.5,0.0,1.1,97.4,94.2
Custer County,OK,8.0,1.3,3.3,18.9,0.1,4.2,83.2,67.5
Custer County,SD,3.8,0.6,0.6,4.4,0.0,2.2,92.8,89.2
Cuyahoga County,OH,0.3,3.4,30.5,6.3,0.0,2.3,63.5,58.6
Dade County,GA,0.6,1.1,1.4,2.3,0.1,1.5,95.3,93.3
Dade County,MO,1.0,0.6,0.5,2.3,0.0,2.8,95.1,93.2
Daggett County,UT,1.5,0.5,0.2,4.4,0.1,2.3,95.4,92.2
Dakota County,MN,0.6,5.2,7.5,7.6,0.1,3.0,83.6,77.1
Dakota County,NE,4.1,3.8,6.7,39.3,0.6,2.5,82.3,46.3
Dale County,AL,0.9,1.5,21.0,7.0,0.2,2.8,73.8,68.0
Dallam County,TX,2.3,1.0,2.6,47.6,0.1,1.6,92.3,47.7
Dallas County,AL,0.3,0.4,70.7,1.2,0.0,0.9,27.6,27.0
Dallas County,AR,0.7,0.3,40.5,3.9,0.1,2.0,56.5,53.2
Dallas County,IA,0.3,5.0,2.6,6.3,0.1,1.7,90.2,84.6
Dallas County,MO,1.0,0.4,0.4,2.2,0.1,1.9,96.2,94.2
Dallas County,TX,1.1,6.7,23.6,40.8,0.1,2.0,66.6,28.3
Dane County,WI,0.5,6.3,5.5,6.5,0.1,2.7,84.9,79.2
Daniels County,MT,2.7,0.2,0.4,3.2,-1.0,2.5,94.2,91.8
Danville City,VA,0.1,1.2,49.4,4.3,0.1,3.2,45.5,42.4
Dare County,NC,0.6,0.9,2.8,7.7,0.1,1.9,93.8,87.0
Darke County,OH,0.3,0.5,0.7,1.7,0.0,1.3,97.2,95.8
Darlington County,SC,0.4,0.5,41.7,2.2,0.1,1.3,56.0,54.5
Dauphin County,PA,0.4,5.3,19.2,9.9,0.1,3.5,71.5,64.5
Davidson County,NC,0.8,1.6,10.1,7.4,0.1,1.8,85.6,79.4
Davidson County,TN,0.5,4.0,27.4,10.4,0.1,2.5,65.5,56.3
Davie County,NC,0.7,0.9,6.5,7.3,0.0,2.0,90.0,83.9
Daviess County,IN,0.4,0.5,2.3,5.2,0.1,1.1,95.6,91.0
Daviess County,KY,0.2,1.9,5.1,3.3,0.1,2.3,90.4,87.6
Daviess County,MO,0.5,0.3,0.7,1.4,0.1,1.3,97.1,96.0
Davis County,IA,0.3,0.3,0.2,1.7,-1.0,1.0,98.1,96.6
Davis County,UT,0.8,2.1,1.4,10.2,0.8,2.7,92.1,83.2
Davison County,SD,3.5,0.7,1.0,3.7,0.1,2.0,92.9,89.9
Dawes County,NE,3.9,1.9,1.8,5.8,0.3,2.6,89.5,85.2
Dawson County,GA,0.5,0.9,1.1,5.2,0.1,1.5,95.9,91.3
Dawson County,MT,2.4,0.6,0.5,3.0,0.0,2.0,94.5,92.2
Dawson County,NE,1.9,1.2,7.2,33.8,0.3,1.3,88.1,57.3
Dawson County,TX,1.2,1.3,6.3,58.1,0.1,1.6,89.5,34.4
Day County,SD,9.9,0.6,0.4,2.5,-1.0,2.1,86.9,85.3
De Baca County,NM,2.2,0.5,0.9,45.9,-1.0,4.3,92.1,50.0
De Soto Parish,LA,1.1,0.4,35.6,3.0,0.1,1.5,61.3,59.1
De Witt County,IL,0.3,0.5,1.0,2.8,0.1,1.3,96.9,94.5
DeKalb County,AL,2.0,0.5,1.9,15.1,0.6,2.3,92.7,79.8
DeKalb County,GA,0.5,6.5,54.8,8.5,0.1,2.2,35.9,29.3
DeKalb County,IL,0.5,2.7,8.3,11.7,0.1,2.1,86.3,75.8
DeKalb County,IN,0.3,0.5,0.6,2.8,0.1,1.2,97.4,94.9
DeKalb County,MO,0.6,0.4,11.8,2.9,0.1,1.2,85.9,83.4
DeKalb County,TN,0.5,1.1,2.0,8.6,0.0,1.6,94.8,87.4
DeSoto County,FL,1.1,0.5,12.7,32.1,0.2,1.3,84.2,54.2
DeSoto County,MS,0.3,1.6,30.1,5.1,0.1,1.5,66.4,61.9
DeWitt County,TX,1.0,0.4,9.1,36.2,0.0,1.4,88.0,54.2
Deaf Smith County,TX,1.8,0.6,2.3,74.2,0.1,1.2,94.1,23.2
Dearborn County,IN,0.2,0.5,0.7,1.4,0.1,1.3,97.3,96.1
Decatur County,GA,0.8,0.7,42.7,6.5,0.2,1.5,54.2,49.4
Decatur County,IA,0.5,0.8,2.1,3.3,0.2,1.4,94.9,92.1
Decatur County,IN,0.3,1.5,0.6,2.1,0.0,1.0,96.5,94.7
Decatur County,KS,0.5,0.2,1.2,3.3,-1.0,1.6,96.5,93.5
Decatur County,TN,0.4,0.6,3.0,3.6,0.1,1.3,94.6,91.4
Deer Lodge County,MT,4.0,0.5,0.5,3.7,0.1,2.7,92.2,89.7
Defiance County,OH,0.4,0.5,2.1,10.4,0.0,1.6,95.3,86.0
Del Norte County,CA,9.7,3.1,3.5,20.1,0.2,5.4,78.1,62.0
Delaware County,IA,0.2,0.3,0.9,1.6,0.0,0.8,97.7,96.3
Delaware County,IN,0.3,1.3,7.2,2.6,0.1,2.4,88.7,86.6
Delaware County,NY,0.4,1.1,2.2,4.0,0.1,1.4,94.9,91.8
Delaware County,OH,0.2,7.6,3.9,2.8,0.1,2.0,86.2,83.8
Delaware County,OK,24.1,1.2,0.5,3.9,0.1,8.0,66.0,63.6
Delaware County,PA,0.2,6.3,22.7,4.1,0.1,2.2,68.5,65.6
Delta County,CO,1.4,0.9,0.9,15.3,0.1,2.0,94.8,81.2
Delta County,MI,2.8,0.5,0.4,1.6,0.0,2.6,93.6,92.5
Delta County,TX,2.5,0.7,6.7,8.9,0.1,3.3,86.8,79.5
Denali Borough,AK,5.1,5.4,2.1,3.8,0.0,4.5,82.9,79.5
Dent County,MO,1.2,0.8,0.7,1.9,0.1,1.8,95.5,93.8
Denton County,TX,0.8,9.7,11.0,19.6,0.1,2.7,75.6,57.6
Denver County,CO,1.7,4.1,9.8,29.3,0.2,3.3,80.9,54.9
Des Moines County,IA,0.4,1.0,6.2,3.4,0.1,2.8,89.5,86.7
Deschutes County,OR,1.1,1.3,0.6,8.3,0.2,2.8,94.1,86.8
Desha County,AR,0.5,0.7,47.9,6.4,0.1,1.4,49.4,44.5
Deuel County,NE,1.6,0.4,0.2,7.7,-1.0,1.4,96.4,89.7
Deuel County,SD,0.7,0.2,0.8,3.9,-1.0,1.3,97.0,93.3
Dewey County,OK,6.5,1.2,0.8,7.6,-1.0,4.5,87.0,81.2
Dewey County,SD,74.1,0.2,0.6,5.0,0.0,4.5,20.5,19.7
Dickens County,TX,2.4,1.2,5.7,30.3,0.1,2.2,88.3,61.7
Dickenson County,VA,0.3,0.2,0.5,1.1,-1.0,0.8,98.2,97.3
Dickey County,ND,0.9,0.6,1.0,3.4,0.0,1.8,95.7,93.1
Dickinson County,IA,0.2,0.8,0.6,2.2,0.0,1.1,97.2,95.2
Dickinson County,KS,1.0,0.7,1.1,4.8,0.1,2.6,94.5,90.4
Dickinson County,MI,1.0,0.7,0.5,1.7,0.1,1.5,96.2,94.9
Dickson County,TN,0.5,0.7,4.1,3.9,0.1,2.0,92.6,89.3
Dillingham Census Area,AK,73.0,0.9,0.8,3.7,0.2,9.3,15.8,14.7
Dillon County,SC,3.0,0.6,47.3,2.8,0.0,2.0,47.1,45.3
Dimmit County,TX,0.8,0.8,1.7,87.6,0.0,1.0,95.7,10.2
Dinwiddie County,VA,0.4,0.8,32.2,3.8,0.1,1.7,64.8,62.0
District of Columbia,DC,0.6,4.5,46.0,11.3,0.1,2.9,46.0,37.5
Divide County,ND,0.8,1.9,1.9,2.9,-1.0,2.0,93.4,90.9
Dixie County,FL,0.6,0.4,9.8,4.2,0.0,1.8,87.3,83.6
Dixon County,NE,0.9,0.4,0.8,14.7,0.2,1.5,96.3,82.9
Doddridge County,WV,0.4,0.3,2.2,0.7,0.0,1.4,95.5,94.9
Dodge County,GA,0.5,0.5,30.5,3.6,0.2,1.4,66.9,64.5
Dodge County,MN,0.4,0.8,0.7,4.9,0.0,1.6,96.4,91.9
Dodge County,NE,1.7,0.7,1.3,14.1,0.4,1.7,94.2,82.3
Dodge County,WI,0.6,0.7,3.3,5.0,0.1,1.1,94.2,89.6
Dolores County,CO,3.3,0.3,0.4,6.3,0.1,2.3,93.6,87.8
Doniphan County,KS,1.4,0.5,3.3,2.8,-1.0,2.3,92.6,90.2
Donley County,TX,1.1,0.6,6.0,11.3,0.1,1.5,90.7,80.0
Dooly County,GA,0.3,0.8,50.2,7.0,0.1,1.0,47.7,42.1
Door County,WI,0.7,0.5,0.8,3.5,0.0,1.5,96.4,93.3
Dorchester County,MD,0.5,1.2,29.0,6.1,0.1,2.4,66.7,62.3
Dorchester County,SC,0.7,2.1,25.6,5.8,0.2,2.9,68.6,63.9
Dougherty County,GA,0.3,0.9,71.0,3.1,0.2,1.3,26.3,24.3
Douglas County,CO,0.5,5.4,1.7,9.1,0.1,2.8,89.5,81.3
Douglas County,GA,0.5,1.6,49.7,10.2,0.2,2.6,45.4,37.4
Douglas County,IL,0.4,0.7,0.7,7.3,-1.0,1.4,96.8,90.0
Douglas County,KS,2.7,5.0,4.7,6.5,0.1,4.2,83.4,78.1
Douglas County,MN,0.4,0.5,0.7,1.7,0.0,1.2,97.2,95.8
Douglas County,MO,0.9,0.3,0.5,1.8,0.0,2.3,96.1,94.6
Douglas County,NE,1.2,4.3,11.5,12.9,0.1,2.8,80.0,68.8
Douglas County,NV,2.2,1.9,1.0,13.2,0.2,3.1,91.6,80.2
Douglas County,OR,2.1,1.1,0.5,6.1,0.2,3.5,92.6,87.5
Douglas County,SD,2.6,0.1,0.5,2.0,-1.0,1.6,95.1,93.7
Douglas County,WA,2.1,1.1,0.8,32.3,0.3,2.7,92.9,63.4
Douglas County,WI,2.0,1.1,1.3,1.7,0.0,3.0,92.6,91.4
Dona Ana County,NM,2.3,1.3,2.4,68.8,0.2,1.9,91.8,26.7
Drew County,AR,0.5,0.7,28.1,3.8,0.0,1.3,69.3,66.1
DuPage County,IL,0.4,12.7,5.3,14.6,0.1,2.1,79.5,66.0
Dubois County,IN,0.3,0.7,0.9,8.7,0.3,0.8,97.0,89.2
Dubuque County,IA,0.3,1.3,3.6,2.6,0.6,1.7,92.5,90.3
Duchesne County,UT,4.9,0.5,0.5,8.3,0.3,2.8,90.9,84.6
Dukes County,MA,1.3,1.1,4.7,3.9,0.1,3.0,89.8,86.9
Dundy County,NE,1.8,0.2,0.5,7.4,0.2,1.7,95.6,89.4
Dunklin County,MO,0.5,0.9,10.6,7.0,0.0,2.1,85.9,79.5
Dunn County,ND,9.8,1.4,1.7,5.6,0.0,2.9,84.2,80.2
Dunn County,WI,0.6,3.0,0.9,2.1,0.1,1.4,94.1,92.4
Duplin County,NC,1.4,0.7,25.5,23.0,0.4,1.6,70.4,51.0
Durham County,NC,0.9,5.5,36.9,13.7,0.1,2.6,54.0,43.0
Dutchess County,NY,0.5,3.7,12.1,12.9,0.1,2.7,81.0,70.7
Duval County,FL,0.5,5.0,30.8,10.5,0.1,3.0,60.6,52.0
Duval County,TX,0.9,0.5,1.4,89.3,0.1,0.6,96.4,8.8
Dyer County,TN,0.4,0.7,14.5,3.6,0.0,1.8,82.5,79.5
Eagle County,CO,1.4,1.3,1.5,29.7,0.1,1.2,94.5,67.0
Early County,GA,0.6,0.7,51.7,2.3,0.1,1.0,46.0,44.2
East Baton Rouge Parish,LA,0.3,3.4,47.2,4.4,0.0,1.6,47.6,44.0
East Carroll Parish,LA,0.3,0.5,68.8,2.7,-1.0,1.3,29.1,27.5
East Feliciana Parish,LA,0.5,0.3,42.7,1.8,0.0,1.4,55.1,54.0
Eastland County,TX,1.2,0.8,2.2,17.0,0.1,1.5,94.3,78.4
Eaton County,MI,0.5,2.5,7.2,5.7,0.0,2.6,87.1,82.3
Eau Claire County,WI,0.6,4.3,1.2,2.7,0.2,2.0,91.7,89.6
Echols County,GA,3.0,0.7,6.2,29.8,0.2,2.2,87.7,61.0
Ector County,TX,1.5,1.3,5.3,62.6,0.3,1.5,90.1,30.4
Eddy County,ND,4.6,0.3,0.5,4.3,0.2,1.8,92.6,89.0
Eddy County,NM,2.4,0.9,2.0,50.5,0.1,1.8,92.7,45.3
Edgar County,IL,0.2,0.4,0.6,1.3,0.0,1.0,97.8,96.6
Edgecombe County,NC,0.8,0.3,57.8,5.0,0.1,1.3,39.7,36.0
Edgefield County,SC,0.5,0.6,35.1,6.2,0.1,1.5,62.3,57.2
Edmonson County,KY,0.5,0.4,2.0,1.5,0.0,1.2,96.0,94.7
Edmunds County,SD,1.1,0.7,0.3,2.2,-1.0,1.0,96.8,95.1
Edwards County,IL,0.5,0.4,0.5,1.4,-1.0,1.3,97.3,96.4
Edwards County,KS,2.6,0.2,1.8,21.1,-1.0,2.4,93.1,75.0
Edwards County,TX,2.4,0.7,1.2,55.3,-1.0,1.1,94.6,42.3
Effingham County,GA,0.4,1.1,14.3,4.9,0.1,2.1,81.9,77.7
Effingham County,IL,0.2,0.7,0.6,2.3,0.0,0.9,97.5,95.6
El Dorado County,CA,1.3,4.8,1.0,13.2,0.2,3.9,88.6,77.2
El Paso County,CO,1.4,3.1,6.9,17.7,0.4,4.9,83.3,68.6
El Paso County,TX,1.1,1.4,4.0,82.9,0.2,1.5,91.8,11.6
Elbert County,CO,0.8,1.2,1.4,7.6,0.2,2.1,94.3,87.7
Elbert County,GA,0.5,1.0,29.0,6.0,0.1,1.3,68.2,63.4
Elk County,KS,2.0,0.5,0.2,4.7,0.0,3.7,93.6,89.4
Elk County,PA,0.2,0.4,0.5,0.9,0.0,0.9,97.9,97.2
Elkhart County,IN,0.6,1.2,6.1,16.8,0.1,2.5,89.5,74.1
Elko County,NV,6.4,1.2,1.3,24.7,0.3,2.6,88.1,66.5
Elliott County,KY,0.3,0.2,3.8,1.2,0.2,1.0,94.5,93.7
Ellis County,KS,0.5,1.8,1.4,5.9,0.1,1.8,94.5,89.1
Ellis County,OK,3.1,0.5,0.7,7.3,0.1,2.3,93.2,86.4
Ellis County,TX,0.8,0.8,12.2,26.9,0.1,1.9,84.1,58.9
Ellsworth County,KS,0.9,0.6,5.4,6.3,-1.0,1.8,91.4,85.6
Elmore County,AL,0.5,0.8,21.2,3.2,0.1,1.8,75.7,73.1
Elmore County,ID,1.7,3.1,3.1,17.8,0.4,3.9,87.8,72.4
Emanuel County,GA,0.5,0.7,34.7,4.6,0.1,1.2,62.8,59.1
Emery County,UT,1.2,0.5,0.4,6.5,0.1,1.4,96.4,90.6
Emmet County,IA,1.6,0.7,1.3,10.1,0.1,2.2,94.1,86.5
Emmet County,MI,3.8,0.6,0.7,1.8,0.1,2.3,92.4,91.1
Emmons County,ND,1.2,0.9,0.3,1.1,-1.0,1.3,96.4,95.3
Emporia City,VA,0.1,0.3,63.2,6.8,0.0,8.4,28.0,24.5
Erath County,TX,1.3,1.0,2.0,21.6,0.1,1.6,93.9,73.9
Erie County,NY,0.7,3.8,14.0,5.8,0.0,2.1,79.3,75.0
Erie County,OH,0.4,0.8,8.9,4.5,0.1,3.3,86.7,83.0
Erie County,PA,0.3,1.9,7.8,4.4,0.1,2.5,87.4,84.0
Escambia County,AL,3.9,0.3,31.3,2.6,0.1,2.2,62.3,60.3
Escambia County,FL,0.9,3.3,23.3,5.9,0.2,3.4,68.9,64.0
Esmeralda County,NV,7.1,0.6,3.4,19.2,0.1,3.9,84.9,66.3
Essex County,MA,0.9,3.9,7.1,22.2,0.2,2.8,85.1,69.0
Essex County,NJ,0.8,5.9,41.9,23.8,0.1,2.4,48.9,30.2
Essex County,NY,0.5,0.8,2.8,3.0,0.1,1.4,94.5,92.3
Essex County,VA,0.9,1.2,37.4,3.9,0.2,3.0,57.3,54.9
Essex County,VT,0.6,0.7,0.6,1.5,-1.0,1.8,96.3,95.1
Estill County,KY,0.4,0.1,0.5,1.3,0.0,1.0,98.1,97.0
Etowah County,AL,0.6,0.8,15.7,4.1,0.3,1.9,80.7,77.5
Eureka County,NV,3.2,1.0,1.2,13.2,0.1,2.6,91.8,80.3
Evangeline Parish,LA,0.5,0.5,28.2,4.0,0.0,1.3,69.5,66.5
Evans County,GA,0.6,1.2,31.1,11.8,0.4,1.4,65.3,56.3
Fairbanks North Star Borough,AK,8.2,3.4,5.3,8.2,0.6,6.9,75.6,69.2
Fairfax County,VA,0.5,20.1,10.6,16.5,0.1,3.9,64.7,50.0
Fairfax City,VA,0.1,17.2,4.9,17.2,0.0,5.1,67.8,56.2
Fairfield County,CT,0.5,5.9,12.9,20.5,0.1,2.2,78.4,60.9
Fairfield County,OH,0.3,1.9,8.8,2.4,0.1,2.2,86.8,84.9
Fairfield County,SC,0.4,0.7,57.0,2.4,0.0,1.7,40.1,38.5
Fall River County,SD,6.8,1.6,1.3,3.8,0.1,3.4,86.8,84.2
Fallon County,MT,1.0,0.7,0.2,1.6,0.2,1.7,96.3,94.8
Falls Church City,VA,0.2,9.9,4.9,10.7,0.0,3.7,79.4,71.7
Falls County,TX,1.1,0.6,24.2,24.0,0.2,2.0,71.9,50.5
Fannin County,GA,0.4,0.6,0.9,2.6,0.0,1.3,96.7,94.4
Fannin County,TX,1.3,0.8,6.5,12.0,0.1,2.3,89.1,78.2
Faribault County,MN,0.8,0.4,0.9,7.3,0.1,1.5,96.4,90.0
Faulk County,SD,0.6,0.4,0.7,1.0,-1.0,0.4,97.8,97.1
Faulkner County,AR,0.7,1.3,12.2,4.2,0.1,2.2,83.6,79.9
Fauquier County,VA,0.5,1.7,7.8,9.2,0.1,2.8,87.0,79.0
Fayette County,AL,0.5,0.5,11.7,2.1,0.0,1.6,85.8,84.1
Fayette County,GA,0.5,5.1,25.3,7.5,0.1,2.4,66.7,60.6
Fayette County,IA,0.3,1.2,1.5,2.7,0.0,1.5,95.5,93.1
Fayette County,IL,0.3,0.4,4.6,1.8,0.0,1.2,93.5,92.1
Fayette County,IN,0.4,0.4,1.5,1.5,0.0,1.3,96.4,95.2
Fayette County,KY,0.3,4.1,15.6,7.4,0.1,2.7,77.2,70.7
Fayette County,OH,0.3,1.0,2.3,2.3,0.0,2.2,94.1,92.2
Fayette County,PA,0.2,0.4,4.8,1.3,0.2,1.8,92.6,91.6
Fayette County,TN,0.4,0.7,27.5,3.0,0.0,1.0,70.3,67.8
Fayette County,TX,1.2,0.5,6.3,21.5,0.1,1.3,90.6,71.0
Fayette County,WV,0.2,0.3,4.4,1.2,0.0,1.6,93.4,92.3
Fentress County,TN,0.4,0.4,0.5,1.6,0.0,1.1,97.6,96.3
Fergus County,MT,1.8,0.5,0.3,2.2,-1.0,1.9,95.5,93.7
Ferry County,WA,16.6,1.1,0.8,4.8,0.3,5.0,76.1,73.0
Fillmore County,MN,0.2,0.7,0.5,1.8,0.0,1.0,97.5,96.0
Fillmore County,NE,0.9,0.7,1.0,3.9,-1.0,0.9,96.5,93.3
Finney County,KS,1.3,4.2,4.4,50.8,0.1,1.6,88.4,40.1
Fisher County,TX,1.3,0.5,4.0,28.2,0.0,2.2,91.9,66.2
Flagler County,FL,0.4,2.5,10.9,10.9,0.1,2.3,83.9,74.4
Flathead County,MT,1.3,0.8,0.3,3.0,0.1,2.5,95.0,92.6
Fleming County,KY,0.1,0.3,1.5,1.5,0.0,1.2,96.9,95.6
Florence County,SC,0.4,1.6,43.2,2.8,0.1,1.4,53.3,51.2
Florence County,WI,1.0,0.4,0.4,1.0,0.0,1.7,96.4,95.6
Floyd County,GA,0.8,1.6,15.0,11.6,0.3,2.0,80.4,70.6
Floyd County,IA,0.3,1.6,2.8,3.8,0.1,1.3,93.9,90.6
Floyd County,IN,0.4,1.3,5.5,3.5,0.1,2.3,90.5,87.5
Floyd County,KY,0.2,0.3,1.1,0.9,0.0,0.8,97.6,96.8
Floyd County,TX,1.4,0.5,4.3,58.9,0.1,1.8,91.9,36.3
Floyd County,VA,0.2,0.5,2.0,3.0,0.0,1.7,95.5,93.0
Fluvanna County,VA,0.4,0.9,15.3,3.8,0.1,2.6,80.7,77.6
Foard County,TX,0.7,0.9,4.8,18.7,-1.0,1.6,92.0,74.4
Fond du Lac County,WI,0.6,1.9,2.2,5.4,0.1,1.4,93.8,89.0
Ford County,IL,0.4,0.6,1.1,3.7,0.1,1.5,96.5,93.1
Ford County,KS,1.7,1.5,2.8,56.0,0.2,1.6,92.2,38.9
Forest County,PA,0.6,0.2,21.1,6.8,0.0,0.8,77.4,71.6
Forest County,WI,15.4,0.3,1.3,2.6,0.1,3.3,79.5,78.4
Forrest County,MS,0.3,1.1,37.8,3.0,0.1,1.4,59.2,56.9
Forsyth County,GA,0.5,15.5,4.4,9.7,0.1,1.9,77.6,69.0
Forsyth County,NC,0.9,2.6,27.5,13.3,0.1,2.3,66.6,56.3
Fort Bend County,TX,0.6,20.9,21.3,24.9,0.1,2.3,54.7,31.9
Foster County,ND,1.5,0.6,0.4,2.3,-1.0,0.9,96.6,94.5
Fountain County,IN,0.4,0.3,0.6,2.7,0.1,1.3,97.4,95.0
Franklin County,AL,1.7,0.4,4.4,17.9,0.2,1.7,91.7,76.2
Franklin County,AR,1.6,1.1,0.9,3.2,0.2,1.8,94.4,91.6
Franklin County,FL,1.0,0.4,13.3,5.7,0.1,2.0,83.3,78.5
Franklin County,GA,0.4,1.4,9.5,4.8,0.1,1.9,86.8,82.9
Franklin County,IA,0.7,0.6,1.2,13.4,0.1,1.4,95.9,84.0
Franklin County,ID,1.0,0.2,0.3,6.8,0.1,1.5,96.9,90.8
Franklin County,IL,0.4,0.4,0.6,1.7,0.0,1.4,97.1,95.7
Franklin County,IN,0.3,0.8,0.3,1.3,0.0,0.9,97.7,96.6
Franklin County,KS,0.9,0.6,1.5,4.2,0.0,2.6,94.4,90.9
Franklin County,KY,0.4,2.1,10.6,3.6,0.0,2.5,84.4,81.5
Franklin County,MA,0.5,1.7,1.6,4.2,0.2,2.2,93.8,90.4
Franklin County,ME,0.5,0.5,0.6,1.3,0.0,1.6,96.8,95.6
Franklin County,MO,0.4,0.6,1.0,1.9,0.1,1.4,96.5,94.9
Franklin County,MS,0.3,0.1,34.5,1.2,0.0,1.4,63.6,62.8
Franklin County,NC,0.9,0.7,25.9,9.0,0.1,2.2,70.1,63.0
Franklin County,NE,0.6,0.2,0.4,2.4,-1.0,1.5,97.3,95.4
Franklin County,NY,7.6,0.5,6.4,3.6,0.0,1.4,84.1,81.7
Franklin County,OH,0.3,5.7,23.8,5.8,0.1,3.3,66.8,62.1
Franklin County,PA,0.3,1.1,4.2,6.1,0.1,2.1,92.3,87.5
Franklin County,TN,0.5,0.9,5.2,3.7,0.1,2.0,91.3,88.0
Franklin County,TX,1.2,1.1,4.2,15.1,0.0,1.9,91.6,77.9
Franklin County,VA,0.5,0.5,7.9,2.9,0.1,1.5,89.6,87.2
Franklin County,VT,1.0,0.8,0.7,1.7,0.0,2.4,95.0,93.5
Franklin County,WA,1.7,2.4,2.8,53.6,0.4,2.7,89.9,39.9
Franklin Parish,LA,0.3,0.4,32.1,1.7,0.0,1.2,66.0,64.9
Franklin City,VA,0.0,1.3,56.7,1.1,0.0,4.1,36.9,36.9
