County,FIPS,Yes/No(1)
"Deschutes County, Oregon",41017,yes
"Desha County, Arkansas",5041,yes
"Dewey County, Oklahoma",40043,yes
"Dickens County, Texas",48125,yes
"Dickenson County, Virginia",51051,yes
"Dickey County, North Dakota",38021,yes
"Dillingham Census Area, Alaska",2070,yes
District of Columbia,11001,yes
"Dixon County, Nebraska",31051,yes
"Dodge County, Wisconsin",55027,yes
"Dona Ana County, New Mexico",35013,yes
"Doniphan County, Kansas",20043,yes
"Douglas County, Colorado",8035,yes
"Douglas County, Minnesota",27041,yes
"Douglas County, Nevada",32005,yes
"Douglas County, Oregon",41019,yes
"Douglas County, Wisconsin",55031,yes
"Duchesne County, Utah",49013,yes
"Dutchess County, New York",36027,yes
"Duval County, Texas",48131,yes
"East Baton Rouge Parish, Louisiana",22033,yes
"East Carroll Parish, Louisiana",22035,yes
"Eastland County, Texas",48133,yes
"Eau Claire County, Wisconsin",55035,yes
"Echols County, Georgia",13101,yes
"Ector County, Texas",48135,yes
"Eddy County, New Mexico",35015,yes
"Edgar County, Illinois",17045,yes
"Edgecombe County, North Carolina",37065,yes
"Edmonson County, Kentucky",21061,yes
"Edmunds County, South Dakota",46045,yes
"Edwards County, Kansas",20047,yes
"Edwards County, Texas",48137,yes
"Effingham County, Illinois",17049,yes
"El Dorado County, California",6017,yes
"El Paso County, Colorado",8041,yes
"El Paso County, Texas",48141,yes
"Elbert County, Colorado",8039,yes
"Elk County, Pennsylvania",42047,yes
"Ellis County, Kansas",20051,yes
"Ellis County, Texas",48139,yes
"Elmore County, Idaho",16039,yes
"Emanuel County, Georgia",13107,yes
"Erath County, Texas",48143,yes
"Erie County, New York",36029,yes
"Erie County, Pennsylvania",42049,yes
"Essex County, Massachusetts",25009,yes
"Essex County, New Jersey",34013,yes
"Essex County, New York",36031,yes
"Evangeline Parish, Louisiana",22039,yes
"Fairbanks North Star, Alaska",2090,yes
"Fairfield County, Connecticut",9001,yes
"Falls County, Texas",48145,yes
"Faulkner County, Arkansas",5045,yes
"Fayette County, Illinois",17051,yes
"Fayette County, Pennsylvania",42051,yes
"Fayette County, Texas",48149,yes
"Fayette County, West Virginia",54019,yes
"Fergus County, Montana",30027,yes
"Ferry County, Washington",53019,yes
"Fisher County, Texas",48151,yes
"Flagler County, Florida",12035,yes
"Flathead County, Montana",30029,yes
"Floyd County, Kentucky",21071,yes
"Foard County, Texas",48155,yes
"Ford County, Kansas",20057,yes
"Franklin County, Georgia",13119,yes
"Franklin County, Idaho",16041,yes
"Franklin County, Kansas",20059,yes
"Franklin County, Maine",23007,yes
"Franklin County, Missouri",29071,yes
"Franklin County, New York",36033,yes
"Franklin County, North Carolina",37069,yes
"Franklin County, Ohio",39049,yes
"Franklin County, Pennsylvania",42055,yes
"Franklin County, Virginia",51067,yes
"Franklin Parish, Louisiana",22041,yes
"Fremont County, Idaho",16043,yes
"Fremont County, Wyoming",56013,yes
"Fulton County, Arkansas",5049,yes
"Fulton County, Kentucky",21075,yes
"Fulton County, Ohio",39051,yes
"Gaines County, Texas",48165,yes
"Galveston County, Texas",48167,yes
"Garfield County, Colorado",8045,yes
"Garfield County, Oklahoma",40047,yes
"Garfield County, Washington",53023,yes
"Garvin County, Oklahoma",40049,yes
"Garza County, Texas",48169,yes
"Gasconade County, Missouri",29073,yes
"Gaston County, North Carolina",37071,yes
"Geary County, Kansas",20061,yes
"Geauga County, Ohio",39055,yes
"Genesee County, Michigan",26049,yes
"Genesee County, New York",36037,yes
"Georgetown County, South Carolina",45043,yes
"Gila County, Arizona",4007,yes
"Giles County, Tennessee",47055,yes
"Gillespie County, Texas",48171,yes
"Glascock County, Georgia",13125,yes
"Gloucester County, Virginia",51073,yes
"Goshen County, Wyoming",56015,yes
"Grady County, Oklahoma",40051,yes
"Grafton County, New Hampshire",33009,yes
"Graham County, Kansas",20065,yes
"Grand County, Colorado",8049,yes
"Grand County, Utah",49019,yes
"Granite County, Montana",30039,yes
"Grant County, Kentucky",21081,yes
"Grant County, New Mexico",35017,yes
"Grant County, Oklahoma",40053,yes
"Grant County, Oregon",41023,yes
"Grant County, Washington",53025,yes
"Grant County, Wisconsin",55043,yes
"Grant Parish, Louisiana",22043,yes
"Gray County, Kansas",20069,yes
"Grays Harbor County, Washington",53027,yes
"Grayson County, Texas",48181,yes
"Greeley County, Kansas",20071,yes
"Greeley County, Nebraska",31077,yes
"Green County, Wisconsin",55045,yes
"Greenbrier County, West Virginia",54025,yes
"Greene County, Georgia",13133,yes
"Greene County, Missouri",29077,yes
"Greene County, New York",36039,yes
"Greene County, Pennsylvania",42059,yes
"Greene County, Virginia",51079,yes
"Greenlee County, Arizona",4011,yes
"Greer County, Oklahoma",40055,yes
"Gregg County, Texas",48183,yes
"Grimes County, Texas",48185,yes
